car,price,body,mileage,engV,engType,registration,year,model,drive,local da compra,regioes,Latitude,Longitude,data da compra,Ano de compra
Ford,15500.0,crossover,68,2.5,Gas,yes,2010,Kuga,full,RI,Norte,41.680893,-71.51178,2023-05-05 00:53:40,2023
Mercedes-Benz,35000.0,other,135,5.5,Petrol,yes,2008,CL 550,rear,IA,Norte,42.019842,-93.210526,2023-01-22 13:40:23,2023
Mercedes-Benz,33000.0,vagon,91,,Other,yes,2013,E-Class,,DE,Sul,38.665721,-75.755137,2023-12-29 11:22:24,2023
Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full,MA,Norte,42.230171,-71.530106,2023-04-05 01:13:14,2023
Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,E-Class,rear,HI,Oeste,21.094318,-157.498337,2023-09-04 13:21:25,2023
BMW,73900.0,sedan,57,4.4,Petrol,yes,2013,M5,rear,UT,Oeste,40.150032,-111.862434,2023-01-29 08:03:28,2023
BMW,65099.0,crossover,0,2.0,Diesel,yes,2016,X5,full,NC,Sul,35.630066,-79.806419,2023-09-20 04:34:31,2023
Mercedes-Benz,99999.0,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full,MO,Desconhecido,36.116203,-89.831988,2023-09-30 08:13:10,2023
BMW,59900.0,crossover,30,2.0,Diesel,yes,2016,X5,full,FL,Sul,27.766279,-81.686783,2023-06-09 10:28:37,2023
Nissan,20241.897,crossover,0,1.6,Petrol,yes,2015,Juke,front,AK,Oeste,61.370716,-149.493686,2023-10-19 20:37:54,2023
Volkswagen,8999.0,sedan,120,1.9,Diesel,yes,2007,Passat B6,front,CT,Norte,41.597782,-72.755371,2023-05-13 11:09:05,2023
Nissan,17000.0,hatch,38,,Other,yes,2013,Leaf,front,DE,Sul,38.665721,-75.755137,2023-09-17 02:56:17,2023
Porsche,55000.0,crossover,105,3.0,Diesel,yes,2012,Cayenne,full,IN,Leste,36.278726,-86.302264,2023-07-14 23:48:23,2023
Kia,18000.0,crossover,64,2.0,Diesel,yes,2011,Sportage,full,KY,Sul,37.66814,-84.670067,2023-02-09 09:16:52,2023
Volkswagen,2400.0,vagon,320,1.9,Diesel,no,2000,Passat B5,front,WY,Oeste,42.755966,-107.30249,2023-11-13 09:53:33,2023
Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,CO,Oeste,39.059811,-105.311104,2023-08-05 20:53:12,2023
Mercedes-Benz,16500.0,other,107,2.2,Diesel,yes,2010,Vito ïàññ.,front,WA,Oeste,47.731157,-120.805472,2023-07-02 18:23:06,2023
Mercedes-Benz,10999.0,van,191,2.2,Diesel,yes,2007,Vito ïàññ.,rear,MO,Desconhecido,36.116203,-89.831988,2023-10-24 12:38:30,2023
Volkswagen,20000.0,crossover,115,2.5,Diesel,yes,2008,Touareg,full,CT,Norte,41.597782,-72.755371,2023-12-08 22:23:09,2023
BMW,21000.0,sedan,186,3.0,Petrol,yes,2007,530,rear,FL,Sul,27.766279,-81.686783,2023-03-20 22:34:19,2023
Hyundai,11800.0,sedan,65,1.4,Petrol,yes,2013,Accent,front,MS,Sul,32.321384,-89.251388,2023-07-31 20:50:26,2023
Volkswagen,10000.0,van,231,1.9,Diesel,yes,2005,T5 (Transporter) ïàññ.,,UT,Oeste,40.150032,-111.862434,2023-05-26 14:46:39,2023
BMW,3900.0,vagon,240,3.0,Diesel,no,2001,530,rear,HI,Oeste,21.094318,-157.498337,2023-06-13 03:42:54,2023
Hyundai,9700.0,sedan,54,1.4,Petrol,yes,2013,Accent,front,DE,Sul,38.665721,-75.755137,2023-03-28 16:08:14,2023
Nissan,12400.0,hatch,26,,Other,yes,2011,Leaf,,OH,Leste,40.388783,-82.764915,2023-10-22 01:02:24,2023
Toyota,73900.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,SD,Norte,44.299782,-99.438828,2023-05-04 20:34:25,2023
Toyota,30800.0,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full,CT,Norte,41.597782,-72.755371,2023-10-25 06:33:19,2023
Opel,3550.0,vagon,231,2.0,Diesel,no,2005,Vectra C,front,ID,Oeste,44.299782,-114.74204,2023-11-15 03:33:14,2023
Volkswagen,0.0,van,162,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front,ND,Norte,47.528912,-99.784012,2023-05-03 12:51:55,2023
Toyota,74999.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,OR,Oeste,33.004106,-116.418468,2023-02-19 08:03:21,2023
Audi,34000.0,crossover,118,2.0,Diesel,yes,2013,Q5,full,OH,Leste,40.388783,-82.764915,2023-11-11 02:16:01,2023
BMW,2850.0,sedan,214,1.9,Petrol,no,2000,318,rear,UT,Oeste,40.150032,-111.862434,2023-04-13 15:38:19,2023
Volkswagen,3250.0,sedan,255,1.9,Diesel,no,2003,Passat B5,front,SC,Sul,33.856892,-80.945007,2023-10-10 08:56:22,2023
Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,Touareg,full,MI,Norte,42.874721,-86.251989,2023-05-31 19:45:11,2023
Volkswagen,30000.0,sedan,67,2.0,Diesel,yes,2013,Passat B7,front,AZ,Oeste,33.729759,-111.431221,2023-07-21 19:18:02,2023
Opel,2780.0,sedan,254,2.2,Diesel,yes,2003,Vectra C,front,FL,Sul,27.766279,-81.686783,2023-12-17 02:38:48,2023
Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear,IA,Norte,42.019842,-93.210526,2023-01-30 14:54:33,2023
Daewoo,3500.0,sedan,112,,Petrol,yes,2007,Lanos,front,IL,Leste,40.298904,-87.43114,2023-08-31 19:20:17,2023
BMW,67500.0,crossover,1,2.0,Diesel,yes,2016,X5,full,OK,Sul,36.820746,-95.929594,2023-10-19 09:13:20,2023
Land Rover,78900.0,crossover,0,3.0,Diesel,yes,2015,Range Rover Sport,full,TN,Sul,35.747845,-86.692345,2023-07-13 19:28:31,2023
Land Rover,27500.0,other,174,3.6,Diesel,yes,2008,Range Rover,full,NV,Oeste,38.313515,-117.055374,2023-04-20 17:00:30,2023
Toyota,24000.0,sedan,16,2.5,Petrol,yes,2013,Camry,front,UT,Oeste,40.150032,-111.862434,2023-09-30 03:59:04,2023
Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,RI,Norte,41.680893,-71.51178,2023-02-03 10:05:08,2023
Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,Pajero Wagon,full,AL,Sul,32.806671,-86.79113,2023-12-27 11:35:37,2023
BMW,29900.0,crossover,235,3.0,Diesel,yes,2009,X5,full,OR,Oeste,33.004106,-116.418468,2023-12-21 16:51:23,2023
Lexus,47000.0,crossover,1,5.7,Petrol,yes,2008,LX 570,full,SD,Norte,44.299782,-99.438828,2023-02-27 21:11:31,2023
Daewoo,3200.0,sedan,130,1.5,Petrol,yes,2003,Lanos,front,WI,Norte,43.351915,-88.825217,2023-06-12 06:41:00,2023
Mercedes-Benz,9200.0,other,280,2.4,Petrol,yes,2003,E-Class,rear,RI,Norte,41.680893,-71.51178,2023-07-15 01:30:06,2023
Skoda,19200.0,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front,WI,Norte,43.351915,-88.825217,2023-03-22 11:05:57,2023
Porsche,87900.0,crossover,1,3.0,Diesel,yes,2016,Cayenne,full,AK,Oeste,61.370716,-149.493686,2023-01-10 09:52:28,2023
Lexus,21900.0,sedan,77,3.0,Petrol,yes,2008,GS 300,rear,NY,Leste,40.298904,-74.521011,2023-03-29 12:54:18,2023
Lexus,22400.0,crossover,100,4.7,Gas,yes,2005,GX,full,AL,Sul,32.806671,-86.79113,2023-07-10 02:50:14,2023
Lexus,44500.0,crossover,144,5.7,Gas,yes,2009,LX 570,full,KY,Sul,37.66814,-84.670067,2023-11-04 02:25:27,2023
Audi,0.0,crossover,65,3.0,Diesel,yes,2013,A6,full,FL,Sul,27.766279,-81.686783,2023-07-09 21:34:00,2023
Nissan,17500.0,hatch,62,,Other,yes,2013,Leaf,front,NH,Norte,43.452492,-71.563896,2023-07-05 01:12:56,2023
Subaru,14000.0,crossover,171,99.99,Petrol,yes,2010,Forester,full,NY,Leste,40.298904,-74.521011,2023-10-15 23:40:08,2023
Nissan,16500.0,hatch,32,,Other,yes,2013,Leaf,front,NC,Sul,35.630066,-79.806419,2023-01-04 07:55:18,2023
Land Rover,147000.0,crossover,15,5.0,Petrol,yes,2015,Range Rover Sport,full,NV,Oeste,38.313515,-117.055374,2023-06-28 16:23:25,2023
Honda,11900.0,sedan,109,2.4,Petrol,yes,2009,Accord,front,MO,Desconhecido,36.116203,-89.831988,2023-03-25 21:07:19,2023
Audi,2200.0,sedan,250,,Diesel,no,2001,A6,front,OH,Leste,40.388783,-82.764915,2023-10-18 11:24:31,2023
Kia,8800.0,other,135,2.4,Gas,yes,2006,Sorento,full,ID,Oeste,44.299782,-114.74204,2023-02-03 07:43:11,2023
Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full,NY,Leste,40.298904,-74.521011,2023-02-02 21:26:15,2023
Chevrolet,6700.0,sedan,80,1.5,Petrol,yes,2011,Aveo,front,SD,Norte,44.299782,-99.438828,2023-03-18 18:18:47,2023
Kia,14500.0,crossover,106,2.5,Diesel,yes,2008,Sorento,full,DE,Sul,38.665721,-75.755137,2023-05-24 04:49:35,2023
VAZ,4100.0,hatch,60,1.6,Petrol,yes,2013,2114,front,OH,Leste,40.388783,-82.764915,2023-10-12 19:53:14,2023
BMW,30500.0,sedan,73,2.0,Petrol,yes,2013,520,rear,MO,Desconhecido,36.116203,-89.831988,2023-03-31 09:03:29,2023
Nissan,17700.0,hatch,21,0.11,Other,yes,2014,Leaf,front,MO,Desconhecido,36.116203,-89.831988,2023-04-20 09:08:07,2023
Mercedes-Benz,24800.0,other,160,3.0,Diesel,yes,2007,S 320,rear,KS,Desconhecido,38.5266,-96.726486,2023-11-08 00:37:45,2023
Hyundai,29999.0,crossover,52,2.2,Diesel,yes,2014,Santa FE,full,MA,Norte,42.230171,-71.530106,2023-05-10 11:43:23,2023
Audi,37800.0,other,126,3.0,Diesel,yes,2010,Q7,full,NC,Sul,35.630066,-79.806419,2023-07-24 00:38:45,2023
Mercedes-Benz,12600.0,sedan,123,3.2,Petrol,yes,2000,S 320,rear,NE,Desconhecido,41.12537,-98.268082,2023-11-22 12:33:37,2023
Smart,6500.0,other,110,1.0,Petrol,yes,2007,Fortwo,rear,OR,Oeste,33.004106,-116.418468,2023-01-24 11:09:25,2023
Volkswagen,7000.0,sedan,185,2.8,Gas,yes,2004,Passat B5,full,NH,Norte,43.452492,-71.563896,2023-08-08 05:33:49,2023
Honda,13200.0,sedan,100,1.8,Petrol,yes,2012,Civic,front,WI,Norte,43.351915,-88.825217,2023-05-25 09:00:30,2023
BMW,34600.0,crossover,163,5.0,Petrol,yes,2011,X5 M,full,OH,Leste,40.388783,-82.764915,2023-11-01 17:19:49,2023
Mercedes-Benz,109999.0,crossover,1,3.0,Diesel,yes,2016,GLS 350,full,AZ,Oeste,33.729759,-111.431221,2023-04-19 11:08:26,2023
Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,A8,full,SC,Sul,33.856892,-80.945007,2023-09-13 22:12:00,2023
Lexus,27500.0,crossover,150,4.7,Gas,yes,2005,LX 470,full,VA,Sul,38.003385,-79.458786,2023-09-01 22:06:40,2023
Renault,6800.0,van,131,1.5,Diesel,yes,2013,Kangoo ãðóç.,front,MN,Norte,44.299782,-93.774173,2023-11-18 19:25:23,2023
Mercedes-Benz,41900.0,sedan,95,6.2,Petrol,yes,2011,S 500,,MT,Norte,46.116203,-112.869665,2023-07-08 11:06:00,2023
Mazda,2700.0,other,450,2.0,Gas,yes,1989,626,front,NC,Sul,35.630066,-79.806419,2023-04-23 16:50:49,2023
